title,link,summary,published
Les animaux fantastiques du Jardin des Plantes…,https://vsd.fr/74344-les-animaux-fantastiques-du-jardin-des-plantes/,Il vous reste quelques jours pour découvrir la nouvelle édition du parcours lumineux du Jardin des Plantes.,"Mon, 06 Jan 2025 13:39:00 +0000"
"Attentats de 2015 : rescapés, politiques… Ils témoignent de ce « lien »  qui les unit depuis 10 ans",https://vsd.fr/74361-attentats-de-2015-rescapes-politiques-ils-temoignent-de-ce-lien-qui-les-unit-depuis-10-ans/,"Agnès Pizzini et Claire Denavarre signent un documentaire exceptionnel « Attentats 2015, ce qui nous lie » diffusé ce soir sur M6. Un film à voir absolument. Pour VSD, Valérie Sarre a rencontré les deux femmes qui ont réalisé ce film. Entretien.","Mon, 06 Jan 2025 12:26:53 +0000"
"« Beaucoup de divans, beaucoup de psys… », Michèle Bernier revient avec émotion sur sa rupture douloureuse avec Bruno Gaccio",https://vsd.fr/74350-beaucoup-de-divans-beaucoup-de-psys-michele-bernier-revient-avec-emotion-sur-sa-rupture-douloureuse-avec-bruno-gaccio/,"Invitée du portrait de « Sept à huit », ce dimanche 5 janvier 2025, Michèle Bernier s’est confiée sur sa séparation compliquée avec Bruno Gaccio, le père de ses deux enfants.","Mon, 06 Jan 2025 11:46:12 +0000"
Relire David Lodge : le génie littéraire de l’humour et de la satire,https://vsd.fr/74338-relire-david-lodge-le-genie-litteraire-de-lhumour-et-de-la-satire/,"Disparu le 1er janvier 2025, l’auteur britannique nous lègue une œuvre mordante et lumineuse, à redécouvrir sans attendre.","Mon, 06 Jan 2025 11:15:00 +0000"
"Brûlures au chalumeau, violences…  Un père transforme le week-end de son fils de 6 ans et son copain en cauchemar",https://vsd.fr/74336-brulures-au-chalumeau-violences-un-pere-transforme-le-week-end-de-son-fils-de-6-ans-et-son-copain-en-cauchemar/,"Il a été condamné à un an de prison avec sursis probatoire, assorti d'une obligation de soins, de travail et d'un stage de responsabilité parentale, ainsi que d'un retrait de l'autorité parentale.","Mon, 06 Jan 2025 08:51:00 +0000"
L’influenceur algérien sous OQTF «Zazou Youcef» écroué,https://vsd.fr/74332-linfluenceur-algerien-sous-oqtf-zazou-youcef-ecroue/,Il appelait «à commettre des attentats en France».  Il comparaîtra le 24 février 2025 devant le tribunal correctionnel de Brest.,"Mon, 06 Jan 2025 06:27:00 +0000"
Dry January ou la révolution silencieuse des Français,https://vsd.fr/74328-dry-january-ou-la-revolution-silencieuse-des-francais/,"Ce défi, autrefois moqué ou critiqué, devient un véritable levier de transformation pour la société française, influençant non seulement les comportements individuels mais aussi les dynamiques économiques et culturelles liées à la consommation d’alcool.","Sun, 05 Jan 2025 17:29:00 +0000"
La doyenne de l'humanité est morte,https://vsd.fr/74322-la-doyenne-de-lhumanite-est-morte/,"Tomiko Itooka, née le 23 mai 1908, aimait les bananes et une boisson japonaise au yaourt appelée Calpis. Elle vivait au Japon et s’est éteinte à l’âge de 116 ans.","Sun, 05 Jan 2025 13:27:00 +0000"
Le roi Charles attristé par la mort d'un Britannique dans l'attaque à la Nouvelle-Orléans,https://vsd.fr/74316-le-roi-charles-attriste-par-la-mort-dun-britannique-dans-lattaque-a-la-nouvelle-orleans/,Edward Pettifer a été identifié par la police métropolitaine comme l'une des victimes de l'attaque du jour de l'An à la Nouvelle-Orléans (Metropolitan Police/PA).,"Sun, 05 Jan 2025 08:52:00 +0000"
L’assassin d’un meurtre vieux de 40 ans abattu par la police,https://vsd.fr/74302-lassassin-dun-meurtre-vieux-de-40-ans-abattu-par-la-police/,"Grâce aux avancées de la science médico-légale, un meurtre non élucidé depuis plus de quatre décennies dans l’Ohio a trouvé sa conclusion.","Sat, 04 Jan 2025 18:00:00 +0000"
"Après l’interpellation de Zazou Youcef, un autre influenceur algérien placé en garde à vue",https://vsd.fr/74298-apres-linterpellation-de-zazou-youcef-un-autre-influenceur-algerien-place-en-garde-a-vue/,"Imad Tintin, alias «Bledar de luxe» sur TikTok, est accusé d’avoir appelé aux meurtres et au viol dans des vidéos.","Sat, 04 Jan 2025 15:10:39 +0000"
Sorties week-end : les bons plans de la semaine du 30 décembre 2024 au 3 janvier 2025,https://vsd.fr/74284-sorties-week-end-les-bons-plans-de-la-semaine-du-30-decembre-2024-au-3-janvier-2025/,"Chaque semaine, retrouvez une session de rattrapage pour découvrir les bonnes idées de la semaine sélectionnées par VSD. Bon week-end.","Sat, 04 Jan 2025 08:48:00 +0000"
Les expositions à ne pas manquer,https://vsd.fr/74277-les-expositions-a-ne-pas-manquer/,"En 2025, les expositions en France offriront un véritable feu d'artifice artistique. Entre chefs-d'œuvre classiques, créations contemporaines et trouvailles insolites.","Fri, 03 Jan 2025 18:27:00 +0000"
"""Des périodes de merde"", Guillaume Canet évoque pour la première fois ses difficultés dans son couple avec Marion Cotillard",https://www.public.fr/des-periodes-de-merde-guillaume-canet-evoque-pour-la-premiere-fois-ses-difficultes-dans-son-couple-avec-marion-cotillard,"En couple avec Marion Cotillard depuis 2007, Guillaume Canet s'est livré à cœur ouvert sur leur relation.","Fri, 10 Jan 2025 14:00:00 +0000"
Lumière pulsée vs épilateur électrique : quelle méthode choisir en 2025 ?,https://www.public.fr/lumiere-pulsee-vs-epilateur-electrique-lequel-choisir-en-2025,"L’épilation fait partie intégrante des routines beauté, et choisir la bonne méthode est essentiel pour allier confort, efficacité et praticité. En 2025, deux options dominent le marché : l’épilation à lumière pulsée avec des résultats semi-permanents et les épilateurs électriques pour une solution rapide et accessible.","Fri, 10 Jan 2025 13:35:00 +0000"
Incendies à Los Angeles : Halle Berry donne des « cachemires magnifiques » pour venir en aide aux sinistrés,https://www.public.fr/incendies-a-los-angeles-halle-berry-donne-des-cachemires-magnifiques-pour-venir-en-aide-aux-sinistres,"Halle Berry a annoncé qu'elle faisait don de toute sa garde-robe, pour soutenir les sinistrés des incendies de Los Angeles.","Fri, 10 Jan 2025 13:16:38 +0000"
"Anne-Sophie Lapix, toujours sous le feu des critiques : pourquoi elle refuse de quitter son poste",https://www.public.fr/anne-sophie-lapix-toujours-sous-le-feu-des-critiques-pourquoi-elle-refuse-de-quitter-son-poste,"A 52 ans, Anne-Sophie Lapix dure plus longtemps qu'elle ne l'avait elle-même prévu, au JT de 20h de France 2. Voici son secret pour garder le cap.","Fri, 10 Jan 2025 12:45:00 +0000"
